Company,Region,Location,Contact Name,Contact Title,LinkedIn URL,Company Website,Industry,Company Description,Contact Background
DCM Systematic,Switzerland,"Geneva, Switzerland",Gaetan Maraite,CEO,N/A - search for profile,dcmsystematic.com,Systematic Trading / Managed Futures,"Systematic trading firm. 11 employees, founded 2014. Won EuroHedge Awards 2025 for Managed Futures over $500M. Multi-model architecture with diversified portfolio construction.","CEO. Received EuroHedge Award 2025 for Managed Futures alongside CIO Anthony Dearden."
DCM Systematic (alt contact),Switzerland,"Geneva, Switzerland",Louis Hauseux,BD & Investor Relations Manager,https://linkedin.com/in/louis-hauseux-688477187,dcmsystematic.com,Systematic Trading / Managed Futures,"Same as above. Diversified Alpha strategy.","Investor Relations and Business Development Manager. Key commercial contact."
Schlossberg Technologies,Switzerland,"Zug, Switzerland",David D. Buehlmann,Founder & CEO,https://linkedin.com/in/david-d-buehlmann-97925633,schlossbergtech.com,Quantitative Investment Management,"Quant investment management. 4 employees, founded 2018. Combines quantitative finance, ML, and behavioural finance for exceptional returns.","MSc Finance from Bayes Business School London. BA from University of St. Gallen. Previously Deutsche Bank, Julius Baer, HSBC advising on complex derivative products. Career across Zurich, London, Singapore, Hong Kong."
Deep Field Capital,Switzerland,"Zug, Switzerland",Siegfried Spitzer,CIO / Senior Portfolio Manager,https://linkedin.com/in/siegfried-spitzer-0087629,deepfieldcap.com,Quantitative / Quantamental Strategies,"Quantamental strategies fund. Founded 2014 in Zug. Trading across Cash Equities, Equity Futures, Fixed Income, Commodities, and Currencies.","Head of Quantamental Capital. Develops and deploys trading strategies generating consistent uncorrelated risk-adjusted returns across multiple asset classes."
mu Capital Management,Switzerland,"Freienbach, Schwyz, Switzerland",Ulrich Carl,Founding Partner,https://linkedin.com/in/ulrich-carl-a8838910a,mucm.ch,Data-Driven Equity / AI-ML,"Boutique specializing in data-driven equity strategies. 2 employees, founded 2022. Combines AI with traditional systematic stock selection. PhD & CAIA.","PhD. Previously quant researcher at UBS Systematic & Index Investments. Deputy Head of Investment Solutions & Head of Quant Research. Passionate about ML for stock selection, factor premia, and risk profiling."
mu Capital Management (alt contact),Switzerland,"Freienbach, Schwyz, Switzerland",Marcial Messmer,Founding Partner,https://linkedin.com/in/marcial-messmer-ph-d-2693659,mucm.ch,Data-Driven Equity / AI-ML,"Same as above. Co-founded factorstrategies.com.","PhD in Economics and Finance (U of St. Gallen). Dissertation on ML and Cross-Section of Expected Returns. Previously systematic equity fund manager. Author of 1M+ lines of Python code. Avid pythonista."
Neuronomics AG,Switzerland,"Zug, Switzerland",David Andel,Co-Founder & Tech Lead,https://linkedin.com/in/david-andel-a76148a,neuronomics.ch,Algorithmic Crypto Trading / AI,"Algorithmic crypto trading firm. Founded 2015 in Zug. Acquired by Defi Technologies (NASDAQ:DEFT).","Multifaceted: neuroscience, AI, blockchain, systems engineering. Architected entire IT infrastructure. Built automated crypto trading system in R running live 4+ years. Previously head of IT research at Psychiatric University Clinic Zurich, IT lead at University of Bern genomics/proteomics."
Quantica Capital,Switzerland,"Schaffhausen, Switzerland",Robert K.,Head of Technology,https://linkedin.com/in/robertkende,quantica-capital.com,Systematic Trend-Following,"Systematic trend-following investment products. 9 employees, founded 2003. Detects and exploits market inefficiencies and risk premia in global markets. Signal generation, execution, risk and portfolio management all built in-house.","Head of Technology since Dec 2020. Previously Director of Technology at Corestone Investment Managers. Head of Quant Research Development at Altis Investment Management (9 years). Deep expertise in systematic investment technology."
Quantica Capital (alt contact),Switzerland,"Schaffhausen, Switzerland",Nicolas Mirjolet,CEO & Co-Head of Research,https://linkedin.com/in/mirjolet,quantica-capital.com,Systematic Trend-Following,"Same as above. 20-year investment track record. Global institutional investor base across NA, Europe, UK, Switzerland, Asia.","Co-founded and developed systematic asset management business as CIO. 15+ years developing systematic investment strategies across liquid asset classes. Passionate speaker on systematic investment, quant research, sustainability."
Enigma Quant Capital,UAE,"Dubai, UAE",Shivalik Singh,Lead Quantitative Trader,https://linkedin.com/in/shivalik-singh,enigmaquant.com,Systematic Crypto Trading,"Quant trading firm focused on systematic crypto strategies. 3 employees, founded 2025. Institutional-grade risk management. Building toward crypto hedge fund.","PhD in Financial Economics. Specializes in medium-frequency systematic strategies across commodities, crypto, equities. Experience at prop trading firms and hedge funds."
Axiomix,UAE,"Dubai, UAE",Denis Shadrin,Quantitative Developer,https://linkedin.com/in/denis-shadrin-5b1881221,axiomix.ai,Market Making / HFT,"Market making firm. 4 employees. HFT and order book management. Develops 10+ MM strategies. Operations across CEX.","Quant developer specializing in HFT and order book management. Designs and implements market making strategies. Architected CEX operations."
Quant Mindset,UAE,"Dubai, UAE",Sylvain Morel,CEO,https://linkedin.com/in/sylvain-morel-b16ba134,quant-mindset.com,Proprietary Quantitative Trading,"Proprietary quant trading company. 3 employees, founded 2023. Automated trading algorithms with 20 years market experience + AI. Market makers and quant traders 24/7.","Serial entrepreneur. Founded and IPO'd digital advertising company ($40M revenue, Euronext Growth 2007). Launched Rebrain.ai in 2017 for AI-powered crypto trading. Deep expertise in market making and algorithmic trading."
Varys Capital,UAE,"Dubai/Abu Dhabi, UAE",Darius Askaripour,Managing Partner,https://linkedin.com/in/dariusaskaripour,varys.capital,Digital Asset Fund / Venture + Trading,"Total return digital asset fund. 11 employees, $1-5M revenue, founded 2018. Dual approach: venture capital + quantitative trading. Fund I led by MBS Global (Qatari royal family office).","NYC background. $45M in asset-backed securities, $65M negotiated debt reduction in real estate. Founded Creative Equity Group ($120M AUM). Oversees team of 8. Based Bangkok, splits time London/NYC. Arts donor (NY Philharmonic), mentor at Roots Foundation."
STELGIC,UAE,"Dubai, UAE",Domingos Silva,Founder & CEO,https://linkedin.com/in/domingossilva,stelgic.com,AI Trading Platform,"Deep tech AI/ML platform for automated trading strategies. 5 employees (+400% YoY), founded 2022. Integrated environment for research, development, deployment. AIQA utility token.","Core engineer with hands-on experience in C++, Python, NVIDIA libcudf, TensorFlow, Keras, Node.js. Designs and develops the Stelgic platform end-to-end."
Finovis.ai,UAE,"Dubai, UAE",Victor Ruoss,CEO & Partner,https://linkedin.com/in/victorruoss,finovis.ai,AI Quantitative Trading Tools,"Advanced AI tools for quantitative trading. 2 employees, founded 2024. AI-based analysis and ML trading algorithms. Also has presence in Switzerland.","CEO since Aug 2024. Pioneering AI technology for analyzing and trading financial markets. Focus on providing institutional-grade tools to clients."
