Company,Region,Location,Contact Name,Contact Title,LinkedIn URL,Company Website,Industry,Company Description,Contact Background
Parallaxe Finance SA,Switzerland,"Geneva, Switzerland",N/A - search for profile,N/A,parallaxefinance.com,Systematic Quantitative Trading,"Systematic and quantitative approach to trading global financial markets. Founded 2022 in Geneva. Focus on derivatives and commodities. Portfolio management services.","Contact not found on LinkedIn. Recommend approaching via website contact form."
Genève Technologies,Switzerland,"Geneva, Switzerland",Yannick Loop,CEO & Managing Partner,https://linkedin.com/in/yannick-loop-047b6694,genevetechnologies.com,Systematic Trading / Algorithms,"Develops cutting-edge systematic trading algorithms using quantitative models. 3 employees (+50% YoY), founded 2020. GT Algo Fund publicly listed. Operations in Portugal and Netherlands.","CEO & Managing Partner since Jan 2020. Also CEO of Psyatwork. Leads a 3-person firm where he likely handles technical and strategic direction."
HTTS High Tech Trading System Fund,Switzerland,"Nyon, Switzerland",Louis-Amaury Pelissier,Quantitative Trader / former Head of AI Algorithms,https://linkedin.com/in/louis-amaury-pelissier-71067235,N/A (LinkedIn-based),Systematic Quantitative Trading,"Systematic quant hedge fund. 4 employees. Mission to deliver superior repeatable risk-adjusted returns using systematic quantitative techniques. Offices in Nyon and Paris.","Quantitative Trader. Previously Head of AI Algorithms at HTTS (Jul 2022-Mar 2023) responsible for signal production and algorithmic trading."
QIO - Quantitative Investment Office,Switzerland,"Zurich, Switzerland",Juri Sarbach,Chief Technology Officer,https://linkedin.com/in/jurisarbach,qio.finance,Quantitative Investment / Fintech,"Swiss-based group of senior financial professionals. 5 employees, founded 2020. Developed quantitative methods for a leading global bank before founding QIO. Robo-advisory platform.","CTO since Oct 2020 (5+ years). Built and maintains QIO's quantitative investment platform and robo-advisory infrastructure."
Principalium Capital AG,Switzerland,"Wollerau, Switzerland",Alex Orus,Founder & Principal,https://linkedin.com/in/alex-orus-8b995718,principalium.com,Quantitative / Behavioral Trading,"Swiss regulated investment boutique. 3 employees, founded 2012. Niche all-weather investment solutions. Combines medium and short-term algorithmic trading in volatility financial and commodity futures.","Founder & Principal since 2012. Domain expertise in volatility-based investment strategies. Multi-disciplinary team with quantitative development ML and algorithmic trading background."
Improm AI,Switzerland,"Geneva, Switzerland",Loann Brahimi,Data Scientist - Commodity Trading,https://linkedin.com/in/loann-brahimi,improm.ai,AI / Commodity Markets,"AI-powered commodity market forecasting. 6 employees (+67% YoY), founded 2023. Helps navigate volatile commodities markets with cutting-edge technology. Presence in Lithuania France and Spain.","Data Scientist since Sep 2025. Previously CTO Quantitative Developer-Trader at Q26. Recommend also approaching via improm.ai website for founder contact."
Alquant,Switzerland,"Fribourg, Switzerland",Valentin Moullet,Co-Founder & CTO,https://linkedin.com/in/valentin-moullet-a4a93566,alquant.com,Fintech / Quantitative Asset Management,"Leading Swiss Fintech (Top 10 Swiss FinTech 2022). 5 employees, founded 2018. Investment products quantitative research and software solutions for 50+ financial institutions. Partnered with BNP Paribas.","Co-Founder & CTO since Jan 2019. Built simulation engine data-quality monitoring and reporting dashboards. Featured in Snowflake case study. 7+ years leading technical development."
QuantArea AG,Switzerland,"Bern, Switzerland",Lorenz Beyeler,CTO,N/A - referenced in co-founder posts,quantarea.ch,Quantitative Asset Solutions / Fintech,"Quant-as-a-service for banks wealth managers and professional brokers. 6 employees, founded 2023. FINMA licensed. Five co-founders including Claudio Loderer (Chairman) Marcel Masshardt (CEO) and Cyril Bachelard (Head of Quant Engineers).","CTO and co-founder. Part of 5-person founding team. Leads technology development for the quantitative asset solutions platform."
G-20 Strategies AG,Switzerland,"Zug, Switzerland",Dr. Nagendra B. Bharatula,Founder & Senior Portfolio Manager,https://linkedin.com/in/dr-nagendra-b-bharatula-8638341,g20strategies.com,Global Macro / Quantitative Trading,"Specialist in global macro and quant trading. 35 employees (+150% YoY), founded 2010. Operates in 9 countries. Focus on bond derivatives FX and precious metals. IP holder for proprietary systems.","PhD in Machine Learning and Information Theory from ETH Zurich. Pattern recognition HMM feature extraction classification algorithms. Deep expertise in both systematic trading and ML."
Unbiased Alpha,Switzerland,"Zurich, Switzerland",Marco Santanché,Quantitative Researcher & Founder,https://linkedin.com/in/marco-santanché-57683ab0,unbiased-alpha.com,Algorithmic Trading Consulting,"Fintech consulting for institutional and retail investors. 2 employees, founded 2021. Algorithmic trading backtesting paper trading and live trading capabilities. Nominated Best FinTech Consultancy 2025 Switzerland.","Founder since Jan 2023. Previously Multi-Asset Strategist at Credit Suisse Quant Risk Modeller and Quantitative Research Analyst at Neuberger Berman. Guest Lecturer at University of Limerick."
Sublime Group,UAE,"Dubai, UAE",Rishan Bhagowat,Founder & CEO,https://linkedin.com/in/rishan-bhagowat,sublimegroup.io,Crypto Quantitative Trading,"Crypto-focused financial technology firm. 3 employees, $8.2M revenue. Pioneer in global investment quantitative trading and strategy management in DeFi. 30+ remote team across USA to Bali.","Founder & CEO since Jan 2017. Leads proprietary quant trading algorithms and market-making operations across crypto exchanges."
Syndicate Global,UAE,"Dubai, UAE",N/A - search for profile,N/A,syndicateglobal.co,Algorithmic Strategy Provider,"Strategy provider in derivative markets with quantitative focus. 3 employees, founded 2024. Suite of algorithmic trading strategies across CEXs PerpDEXs and CFD brokers. Registered in DSO IFZA Dubai.","Contact not found on LinkedIn. Very low public profile. Recommend approaching via website."
Algorium,UAE,"Dubai, UAE",Vladimir Phillips,Chief Technology Officer,https://linkedin.com/in/vphillips,algorium.io,Proprietary Market Making / Digital Assets,"Proprietary market making of digital assets. 3 employees, founded 2023. Computerized trading and low-touch algorithmic strategies. Co-founded by former Maven Securities team.","CTO since Jun 2023. Moved from Europe to Dubai to co-found Algorium with CEO Cagdas Yalcin. Previously tied to Maven Securities."
SayFi,UAE,"Dubai, UAE",Ashkan Maniei,Lead Executive Officer,https://linkedin.com/in/ashkan-maniei-179b4577,sayfitech.com,AI-Native Trading Platform,"Venture studio in DIFC. 2 employees, founded 2025. Four AI-native trading products: SayFi (financial OS) SwipeX (on-chain derivatives) RADA (algorithmic trading) IndexOS (strategy engine). $500K+ self-funded.","LEO since Feb 2025. Trader investor and builder. Pioneering AI-native financial products turning natural language into trading workflows."
Cicada Capital,UAE,"Dubai, UAE",Maxim Moris,Co-Founder & CEO,https://linkedin.com/in/motinmaxim,N/A (LinkedIn-based),Algorithmic Trading / Market Making,"Diversified group across crypto markets. 12 employees (+157% YoY), founded 2021. Algorithmic trading market making OTC operations and liquidity solutions. Operates in 7 countries.","Co-Founder & CEO since Feb 2025. 9+ years in Web3 market making. Timur Salavatov serves as Head of Market Making overseeing internal trading platform."
CoinQuant,UAE,"Dubai, UAE",Maan Ftouni,Founder & CEO,https://linkedin.com/in/maanftouni,coinquant.ai,AI Trading Platform,"No-code AI trading platform. 14 employees (+117% YoY), founded 2024. LangGraph and LangChain powered. Natural-language strategy building instant backtesting and automated execution.","Founder & CEO since Oct 2024. Background in cybersecurity and big data (Cisco Oracle Microsoft). Built platform using LLM pipeline architecture."
Altitude Trading,UAE,"Dubai, UAE",Amit Gupta,Co-Founder,https://linkedin.com/in/amit-gupta-498173b,altitudetrading.com,Proprietary Commodities Trading,"Proprietary trading firm specializing in commodities. 3 employees, founded 2017. Advanced in-house quantitative fundamental and technical strategies. IIT-IIM alumni founders with Wall Street and London experience.","Co-Founder & Commodities Prop Trader since Sep 2017. IIT-IIM background with decade of commodities trading on Wall Street and London investment banks."
Quant Hill,UAE,"Dubai, UAE",Andrei Ksenev,Partner & Head of Algorithmic Trading,https://linkedin.com/in/andrei-ksenev-155382246,quanthill.kg,Algorithmic Asset Management,"Fully automated long-term investment solutions. 5 employees, founded 2014. Based on principles of quantitative research. Multiple algorithmic strategies across crypto and traditional markets.","Partner & Head of Algo Trading. Previously Team Lead and Quant Developer at Quant Hill (2015-2023). Designs and implements algorithmic trading strategies."
Fujairah Investments,UAE,"Fujairah, UAE",N/A - search for profile,N/A,fujairahinvestments.tech,HFT / Algorithmic Trading,"High-frequency algorithmic trading firm. Founded 2011. Global leader in speed and accuracy. Strives to be one of top proprietary trading companies. Won Best Wealth Management Company Using AI in UAE.","Contact not found on LinkedIn. Minimal public presence. Recommend approaching via website."
Swiss Eagles,UAE,"Dubai, UAE",Rasha Gad,Founder,https://linkedin.com/in/rasha-gad-03035468,swisseagles.com,Automated AI Trading,"Automated AI-based trading portfolios for sustainable growth. 6 employees. Multiple investment strategies requiring no management. Presence in Spain and Saudi Arabia.","Founder. MBA in Finance DFSA Authorized Individual DIFC. Co-Founder Muhammad Abo Mahmoud served as Head of Operations."
